artist,total_weeks,track_count,artistId,imageUrl,imageWidth,imageHeight
BILL HALEY & HIS COMETS,6,1,3MFp4cYuYtTZe3d3xkLLbr,https://i.scdn.co/image/9770605897b143b725a0b1e047ef827da5882346,64,63
BILLIE,2,2,6qqNVTkY8uBg9cP3Jd7DAH,https://i.scdn.co/image/5db2a50e0938638908dac2ed2dcc292365cf1cf0,160,160
BILLIE PIPER,1,1,3RjnAn8EWb7zaLlGWVxQeP,https://i.scdn.co/image/087a14e31ccdca3122e582d1a9c0ca237e402cc0,200,249
BILLY CONNOLLY,1,1,7ubX7CBZbkPM3O1m2WBBd8,https://i.scdn.co/image/bafdbbe64cdbc647927d514b1f3cf1700b8fba6d,64,64
BILLY J. KRAMER & THE DAKOTAS,3,1,7m2WaGqLDhPRdhdw5MOxjX,https://i.scdn.co/image/23cfc5672ac84302859f03316235d36e2cba8b49,64,64
BILLY JOEL,5,1,6zFYqv1mOsgBRQbae3JJ9e,https://i.scdn.co/image/2aff697bef6a76075e05ab6dd155e91304820aeb,160,160
BILLY OCEAN,4,1,5IDs1CK15HegSAhGEbSYXo,https://i.scdn.co/image/90561ffe540d9255570cbe9460345fc064d9358c,160,160
BINGO PLAYERS,2,1,1pbHrVayIcVpHI9z97u4bK,https://i.scdn.co/image/67c96f40f1f3571523ddad8481a43faef230edf9,160,160
BLACK BOX,6,1,6tsRo8ErXzpHk3tQeH6GBW,https://i.scdn.co/image/b0bb72fd325fb7f95bb3b2961c4f0822796e1d3c,160,160
BLACK EYED PEAS,12,5,1yxSLGMDHlW21z4YXirZDS,https://i.scdn.co/image/9d8afed983827e6421c0d6f6aef26d3fe0a69370,160,160
BLACK LEGEND,1,1,4qLiTGMBoVE95pmqJPseOU,https://i.scdn.co/image/88cb4e457cde48e8845993585a19a5601e51781d,160,160
BLAZIN' SQUAD,1,1,5dEFm1RwaTSXpQSpzpYKF2,https://i.scdn.co/image/635db5c46f1538ba94cc3dcc35ea732ffde6896d,64,64
BLONDIE,13,6,4tpUmLEVLCGFr93o8hFFIB,https://i.scdn.co/image/a296a8eccdb6af8f0f254452a6090b60f61746af,160,160
BLU CANTRELL,4,1,6vytZ677lz4LzCrUDcDokM,https://i.scdn.co/image/824383e2c1f6f9a8f427fa5491a79bf697a220ad,200,200
BLUE,3,3,1HBjj22wzbscIZ9sEb5dyf,https://i.scdn.co/image/2990ed26fab0409c74e230689c59202240632591,160,160
BLUEBELLS,4,1,59FA7hfd0gJCIVBN0GygHg,https://i.scdn.co/image/4c0e74ab2458929430e0f1ca8780266b72c3b21e,64,63
BLUR,3,2,7MhMgCo0Bl0Kukl93PZbYS,https://i.scdn.co/image/4bc14479e0cb481f40ac103db6fd9ef078a583cb,64,64
BOB THE BUILDER,4,2,52VfGq3cCGwYsc5UGObOb0,https://i.scdn.co/image/aabbea8cedcb92029302e1e66d7a3195c6b3a967,64,62
